Interestingness,Cosine,Cosine,Cosine,Cosine,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,IR,IR,IR,IR,Kulczynski,Kulczynski,Kulczynski,Kulczynski
Thresold,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Parts-of-speech,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB
Evaluation,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.05-condBA_0.05,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.159375,0.1375,0.18125,0.18125,0.15208334,0.125,0.18125,0.18125,0.178125,0.175,0.18125,0.18125
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.05-condBA_0.1,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.1875,0.15,0.225,0.225,0.221875,0.21875,0.225,0.225
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.1-condBA_0.05,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.159375,0.1375,0.18125,0.18125,0.15208334,0.125,0.18125,0.18125,0.178125,0.175,0.18125,0.18125
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.1-condBA_0.1,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.1875,0.15,0.225,0.225,0.221875,0.21875,0.225,0.225
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.05-condBA_0.05,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.159375,0.1375,0.18125,0.18125,0.15208334,0.125,0.18125,0.18125,0.178125,0.175,0.18125,0.18125
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.05-condBA_0.1,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.221875,0.21875,0.225,0.225,0.1875,0.15,0.225,0.225,0.221875,0.21875,0.225,0.225
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.1-condBA_0.05,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.171875,0.1625,0.18125,0.18125,0.159375,0.1375,0.18125,0.18125,0.15208334,0.125,0.18125,0.18125,0.178125,0.175,0.18125,0.18125
