Interestingness,Cosine,Cosine,Cosine,Cosine,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,IR,IR,IR,IR,Kulczynski,Kulczynski,Kulczynski,Kulczynski
Thresold,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Parts-of-speech,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB,VB
Evaluation,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.05-condBA_0.05,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.05625,0.04375,0.06875,0.06875,0.053125,0.0375,0.06875,0.06875,0.065625,0.0625,0.06875,0.06875
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.05-condBA_0.1,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.1125,0.08125,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.1-condBA_0.05,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.05625,0.04375,0.06875,0.06875,0.053125,0.0375,0.06875,0.06875,0.065625,0.0625,0.06875,0.06875
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.1-condBA_0.1,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.1125,0.08125,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.05-condBA_0.05,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.05625,0.04375,0.06875,0.06875,0.053125,0.0375,0.06875,0.06875,0.065625,0.0625,0.06875,0.06875
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.05-condBA_0.1,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375,0.1125,0.08125,0.14375,0.14375,0.140625,0.1375,0.14375,0.14375
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.1-condBA_0.05,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.059375,0.05,0.06875,0.06875,0.05625,0.04375,0.06875,0.06875,0.053125,0.0375,0.06875,0.06875,0.065625,0.0625,0.06875,0.06875
