Interestingness,Cosine,Cosine,Cosine,Cosine,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,IR,IR,IR,IR,Kulczynski,Kulczynski,Kulczynski,Kulczynski
Thresold,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Parts-of-speech,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ
Evaluation,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10
supA_5.0-supB_5.0-condAB_0.05-condBA_0.05,0.00434783,0,0,0,0.00333334,0,0,0,0.003125,0,0,,0.0125,0,,0.1,0.02,0,0.1,0.1,0.00666667,0,0,0
supA_5.0-supB_5.0-condAB_0.05-condBA_0.1,0.00434783,0,0,0,0.00344828,0,0,0,0.00217392,0,0,,0.01666667,0,,0.1,0.025,0,0.1,0.1,0.00588236,0,0,0
supA_5.0-supB_5.0-condAB_0.1-condBA_0.05,0.0210746,0,0.05,0.05,0.01964061,0,0.05,0.05,0.0192003,0,0.05,0.05,0.075,0.05,0.05,0.2,0.095,0.05,0.2,0.2,0.03388889,0,0.05,0.05
supA_5.0-supB_5.0-condAB_0.1-condBA_0.1,0.00542785,0,0,0,0.00414674,0,0,0,0.00283525,0,0,,0.03333334,0,0.1,0.15,0.04166667,0,0.15,0.15,0.00787879,0,0,0
supA_5.0-supB_50.0-condAB_0.05-condBA_0.05,0.0279762,0,0.05,0.05,0.023301,0,0.05,0.05,0.02139152,0,0.05,0.05,0.10333334,0.05,0.2,0.2,0.08214286,0.05,0.05,0.25,0.04537879,0,0.05,0.15
supA_5.0-supB_50.0-condAB_0.05-condBA_0.1,0.0623056,0,0.1,0.1,0.03075201,0,0.1,0.1,0.02581586,0,0,0.1,0.06874163,0,0.1,0.2,0.05440796,0,0.1,0.2,0.06525726,0,0.1,0.2
supA_5.0-supB_50.0-condAB_0.1-condBA_0.05,0.08800643,0,0.2,0.2,0.0517676,0,0.15,0.2,0.0498089,0,0.15,0.2,0.22903379,0.15,0.35,0.35,0.13042939,0.05,0.2,0.4,0.11137039,0,0.2,0.3
supA_5.0-supB_50.0-condAB_0.1-condBA_0.1,0.06129569,0,0.1,0.1,0.02946429,0,0.1,0.1,0.02442693,0,0,0.1,0.06778869,0,0.1,0.2,0.05350298,0,0.1,0.2,0.06458993,0,0.1,0.2
supA_50.0-supB_5.0-condAB_0.05-condBA_0.05,0.05202614,0.05,0.05,0.05,0.02703755,0,0.05,0.05,0.01864746,0,0.05,0.05,0.02709067,0,0.05,0.05,0.00730694,0,,,0.05198043,0.05,0.05,0.05
supA_50.0-supB_5.0-condAB_0.05-condBA_0.1,0.02567568,0,0.05,0.05,0.01755953,0,0.05,0.05,0.0134091,0,0.05,0.05,0.05043479,0.05,0.05,0.05,0.00229412,0,,,0.05051547,0.05,0.05,0.05
supA_50.0-supB_5.0-condAB_0.1-condBA_0.05,0.02723881,0,0.05,0.05,0.01894128,0,0.05,0.05,0.01471068,0,0.05,0.05,0.01929182,0,0.05,0.05,0.01247077,0,,0.1,0.05236847,0.05,0.05,0.05
supA_50.0-supB_5.0-condAB_0.1-condBA_0.1,0.0257353,0,0.05,0.05,0.01754386,0,0.05,0.05,0.0133772,0,0.05,0.05,0.02569445,0,0.05,0.05,0.00693494,0,,0.05,0.05068494,0.05,0.05,0.05
supA_50.0-supB_50.0-condAB_0.05-condBA_0.05,0.02858781,0,0.05,0.05,0.01996264,0,0.05,0.05,0.0195054,0,0.05,0.05,0.03000266,0,0.05,0.05,0.02990197,0,0.1,0.1,0.05405255,0.05,0.05,0.05
supA_50.0-supB_50.0-condAB_0.05-condBA_0.1,0.0284434,0,0.05,0.05,0.02044445,0,0.05,0.05,0.02056939,0,0.05,0.05,0.02778572,0,0.05,0.05,0.01907597,0,0.05,0.05,0.05299243,0.05,0.05,0.05
supA_50.0-supB_50.0-condAB_0.1-condBA_0.05,0.02856289,0,0.05,0.05,0.01993873,0,0.05,0.05,0.01971952,0,0.05,0.05,0.02132937,0,0.05,0.05,0.02477801,0,0.05,0.1,0.05391523,0.05,0.05,0.05
supA_50.0-supB_50.0-condAB_0.1-condBA_0.1,0.02857498,0,0.05,0.05,0.02044445,0,0.05,0.05,0.02056939,0,0.05,0.05,0.02827273,0,0.05,0.05,0.02003206,0,0.05,0.05,0.05354067,0.05,0.05,0.05
Maximum,0.08800643,0.05,0.2,0.2,0.0517676,0,0.15,0.2,0.0498089,0,0.15,0.2,0.22903379,0.15,0.35,0.35,0.13042939,0.05,0.2,0.4,0.11137039,0.05,0.2,0.3
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Maximum,,,,,,,,,,,,,,,,,,,,,,,,
supA_5.0-supB_50.0-condAB_0.1-condBA_0.05,0.08800643,0,0.2,0.2,0.0517676,0,0.15,0.2,0.0498089,0,0.15,0.2,0.22903379,0.15,0.35,0.35,0.13042939,0.05,0.2,0.4,0.11137039,0,0.2,0.3
